Author,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Clustering Coefficient
Ivan Heibi,0.035,0.008095118449389805,0.21516556291390726,0.03973484531807985,0.2857142857142857
Silvio Peroni,0.125,0.11654014118210103,0.29139013452914797,0.07904269122181563,0.14333333333333334
David M. Shotton,0.02,0.0005360134003350085,0.20628571428571427,0.020192683326455046,0.6666666666666666
"Massari, Arcangelo",0.005,0.0,0.15657831325301202,0.0033105473916506503,0.0
Luca Pareschi,0.015,0.0,0.1951351351351351,0.010796065107686171,1.0
Paolo Ferri,0.015,0.0,0.1951351351351351,0.010796065107686171,1.0
Arianna Moretti,0.015,5.0251256281407036e-05,0.1951351351351351,0.010518312371112214,0.6666666666666666
Francesca Tomasi,0.165,0.12297170375687956,0.26307692307692304,0.34226537992172174,0.18181818181818182
Marilena Daquino,0.065,0.015293551088777212,0.24246268656716416,0.06860698790249763,0.3076923076923077
Arcangelo Massari,0.01,0.0,0.19397014925373135,0.007462375886683514,1.0
Giovanni Colavizza,0.025,0.016834170854271358,0.19750759878419452,0.007348092864043843,0.2
Matteo Romanello,0.01,0.0,0.19572289156626504,0.0071982453735206535,1.0
Andrea Giovanni Nuzzolese,0.07,0.02115777299194384,0.23543478260869563,0.03241787314511486,0.38461538461538464
Valentina Presutti,0.1,0.08549529392996735,0.2489655172413793,0.03590053101888869,0.24210526315789474
Aldo Gangemi,0.135,0.08385778096833374,0.2730252100840336,0.08189326276291352,0.18233618233618235
Paolo Ciancarini,0.075,0.04154482731115901,0.23543478260869563,0.02670455062428378,0.19047619047619047
Angelo Di Iorio,0.02,0.0019803780808805935,0.21097402597402595,0.01573665391211023,0.8333333333333334
Francesco Poggi,0.05,0.027305276381909552,0.2433707865168539,0.028145811189247357,0.4
Fabio Vitali,0.06,0.0704978463747308,0.2388970588235294,0.05497004136886519,0.24242424242424243
Francesco Osborne,0.01,0.0,0.19397014925373135,0.007184623150109554,1.0
Enrico Daga,0.03,0.0003220068596953017,0.20893890675241156,0.02525421895707287,0.8
Paul Mulholland,0.03,0.0003220068596953017,0.20893890675241156,0.02525421895707287,0.8
Sofia Pescarin,0.025,0.0,0.20826923076923073,0.02333462074008433,1.0
Francesca Mambelli,0.02,0.0,0.22253424657534246,0.04539722158226771,1.0
Erika Alves dos Santos,0.01,0.0,0.19397014925373135,0.007184623150109554,1.0
Marcos Luiz Mucheroni,0.01,0.0,0.19397014925373135,0.007184623150109554,1.0
Sahar Vahdati,0.01,0.0,0.19397014925373135,0.007184623150109554,1.0
Giulia Renda,0.005,0.0,0.1705511811023622,0.005716216997397782,0.0
Lucia Giagnolini,0.015,9.798994974874372e-05,0.18407932011331443,0.03686285259876973,0.6666666666666666
Valentina Pasqual,0.015,0.0,0.19397014925373135,0.03881125224296501,1.0
Sofia Baroncini,0.02,4.067958841828189e-05,0.21375,0.04444978936755686,0.8333333333333334
Luigi Asprino,0.05,0.0017263699449629095,0.20694267515923565,0.024954229198674807,0.4888888888888889
