,Cultural Heritage,Benedetto Varchi,Natural Language Processing,Linked Data,Software Engineering,Microservices,Machine Learning,Visualization,Philology,Authorial Philology,Giacomo Leopardi,Manzoni,Legal Design,Opencitations,Computer Vision And Pattern Recognition,Big Data,Open Citations,Carlo Emilio Gadda,Linked Open Data,Rdf,Ontology Design Patterns,Semantic Publishing,Bibliometrics,Computer Networks And Communications,Dante,Archives,Ontology Engineering,Italian Philology,Knowledge Graph,Alessandro Manzoni,Deep Learning,Frame Semantics,Semantic Web,Semantics,Francesco Petrarca,Information Systems,Critica Delle Varianti,Artificial Intelligence,Computer Science Applications,Ontologies
Cultural Heritage,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,6,0,0,0,18,2,0,0,0,0,0,10
Benedetto Varchi,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,2,0,0,0,0,0
Natural Language Processing,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,2
Linked Data,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,2,0,0,0,0,2,0,8,0,0,0,10,0,0,0,0,0,0,16
Software Engineering,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
Microservices,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Machine Learning,0,0,18,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,2,2,0,0,0,12,0,0
Visualization,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Philology,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0
Authorial Philology,0,6,0,0,0,0,0,0,8,0,6,10,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,26,0,10,0,0,0,0,6,0,20,0,0,0
Giacomo Leopardi,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,4,0,6,0,0,0,0,4,0,4,0,0,0
Manzoni,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legal Design,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2
Opencitations,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Computer Vision And Pattern Recognition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,10,0,2,14,0
Big Data,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
Open Citations,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlo Emilio Gadda,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,8,0,0,0
Linked Open Data,10,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,4,4,0,4,0,0,0,20,0,0,0,0,0,0,10
Rdf,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4
Ontology Design Patterns,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2
Semantic Publishing,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6
Bibliometrics,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Computer Networks And Communications,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,6,2
Dante,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archives,0,2,0,0,0,0,2,0,2,4,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,2,0,0,4,0,4
Ontology Engineering,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,2,4,0,0,0,0,0,0,2
Italian Philology,0,2,0,0,0,0,0,0,0,26,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,4,0,6,0,0,0
Knowledge Graph,6,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,2,12,2,0,0,0,0,0,6
Alessandro Manzoni,0,2,0,0,0,0,0,0,2,10,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,2,0,8,0,0,0
Deep Learning,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frame Semantics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0
Semantic Web,18,0,0,10,0,0,2,0,0,0,0,0,2,2,2,0,0,0,20,4,2,4,0,2,0,2,4,0,12,0,0,2,0,0,0,0,0,4,2,34
Semantics,2,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0
Francesco Petrarca,0,2,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,2,0,0,0,0,0,0,2,0,0,0
Information Systems,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
Critica Delle Varianti,0,0,0,0,0,0,0,0,2,20,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,2,0,0,0,0,0
Artificial Intelligence,0,0,4,0,0,0,12,0,0,0,0,0,2,0,2,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,2,0,0,0,0,2,0
Computer Science Applications,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,10,0,2,0,0
Ontologies,10,0,2,16,2,0,0,0,0,0,0,0,2,0,0,0,0,0,10,4,2,6,0,2,0,4,2,0,6,0,0,0,34,0,0,0,0,0,0,0
