Node,Degree,Degree Centrality,Betweenness Centrality,Closeness Centrality,Clustering Coefficient
Data Collection,1,0.00033875338753387534,0.0,0.00045167118337850043,0.0
Scientific Misconduct,2,0.0006775067750677507,2.2958548799313816e-07,0.0006775067750677507,0.0
10.1371/journal.pone.0270872,1,0.00033875338753387534,0.0,0.00045167118337850043,0.0
Citation Analysis,20,0.006775067750677507,0.004769163087025555,0.19488158499450234,0.16842105263157894
Retraction,6,0.002032520325203252,0.001121756590659019,0.17161319760085642,0.3333333333333333
Science Of Science,15,0.00508130081300813,0.004101429309939252,0.20360825230964902,0.4095238095238095
Topic Modeling,6,0.002032520325203252,0.0013971686137146297,0.19129456552959542,0.3333333333333333
10.1007/s11192-021-04097-5,1,0.00033875338753387534,0.0,0.15440985011890934,0.0
Humanities,23,0.007791327913279133,0.004955262300194629,0.18124958451098502,0.1541501976284585
10.1162/qss_a_00222,1,0.00033875338753387534,0.0,0.14779814533182056,0.0
Rest Api,9,0.003048780487804878,0.0,0.1844846058672232,1.0
Open Citations,71,0.024051490514905148,0.03519723964662533,0.2244595542846374,0.08329979879275654
Citation Data,23,0.007791327913279133,0.0018707447138403815,0.1934267986457347,0.2924901185770751
Sparql Endpoint,9,0.003048780487804878,0.0,0.1844846058672232,1.0
Rdf,38,0.012872628726287264,0.010101037521403152,0.22148953910499292,0.1593172119487909
Linked Data,42,0.014227642276422764,0.00997123586566725,0.22593414524087907,0.16144018583042974
Triplestore,9,0.003048780487804878,0.0,0.1844846058672232,1.0
Ramose,9,0.003048780487804878,0.0,0.1844846058672232,1.0
Data Access,9,0.003048780487804878,0.0,0.1844846058672232,1.0
Query Language,10,0.0033875338753387536,0.0005422809226397923,0.18450260085413964,0.8
10.3233/SW-210439,1,0.00033875338753387534,0.0,0.14995407198007288,0.0
Opencitations,23,0.007791327913279133,0.00211288169399736,0.18766947752323043,0.28063241106719367
Coci,13,0.004403794037940379,0.0002292740127011985,0.18515276663631947,0.5256410256410257
Croci,5,0.0016937669376693768,0.0010843322597915916,0.17595541060061765,0.3
https://hdl.handle.net/11585/739946,1,0.00033875338753387534,0.0,0.14425874496313604,0.0
Open Science Infrastructures,6,0.002032520325203252,0.0007774737010988822,0.17597178006853098,0.3333333333333333
Fair,3,0.001016260162601626,0.0,0.15210040720140233,1.0
Posi,4,0.0013550135501355014,0.0005422809226397923,0.1521126388384913,0.5
10.1007/978-3-031-16802-4_36,1,0.00033875338753387534,0.0,0.12783136202991413,0.0
Oscar,9,0.003048780487804878,1.3211967807795157e-05,0.18189447677244347,0.8611111111111112
Occ,12,0.004065040650406504,3.3094431954167434e-05,0.18198197652074652,0.6060606060606061
Sparql,18,0.006097560975609756,0.004748250946209068,0.20866195962014777,0.24836601307189543
Free-Text Search,9,0.003048780487804878,1.3211967807795157e-05,0.18189447677244347,0.8611111111111112
Scholarly Data,21,0.007113821138211382,0.004399915968721368,0.2136828585581382,0.23809523809523808
Advanced Search,8,0.0027100271002710027,0.0005422809226397923,0.1764807486430901,0.75
10.3233/DS-190016,1,0.00033875338753387534,0.0,0.14461167155631802,0.0
Bibliographic Metadata,21,0.007113821138211382,0.0011626246311384292,0.18960712349204487,0.319047619047619
Csv,4,0.0013550135501355014,0.0005422809226397924,0.17611924245406327,0.5
http://ceur-ws.org/Vol-3220/,1,0.00033875338753387534,0.0,0.1443688493326698,0.0
Semantic Web,153,0.051829268292682924,0.16592127686531627,0.2712246435269056,0.03156174750601995
Isws,3,0.001016260162601626,0.0,0.204599314651881,1.0
