Node,Degree Centrality
Semantic Web,0.0502039535613429
Authorial Philology,0.0436146846564166
Ontologies,0.0398493881393159
Machine Learning,0.0379667398807656
Artificial Intelligence,0.0323187951051145
Linked Open Data,0.0269846250392218
Italian Philology,0.0244744273611546
Natural Language Processing,0.0225917791026043
Giacomo Leopardi,0.0213366802635707
Carlo Emilio Gadda,0.0210229055538123
Alessandro Manzoni,0.0210229055538123
Opencitations,0.0181989331659868
Critica Delle Varianti,0.0169438343269532
Philology,0.0169438343269532
Visualization,0.0166300596171948
Cultural Heritage,0.0166300596171948
Linked Data,0.0166300596171948
Archives,0.016002510197678
Rdf,0.0150611860684028
Big Data,0.0150611860684028
Open Citations,0.014433636648886
Computer Science Applications,0.0141198619391277
Information Systems,0.0141198619391277
Software Engineering,0.0138060872293693
Manzoni,0.0131785378098525
Knowledge Graph,0.0131785378098525
Computer Vision And Pattern Recognition,0.0128647631000941
Deep Learning,0.0128647631000941
Legal Design,0.0128647631000941
Francesco Petrarca,0.0125509883903357
Semantic Publishing,0.0119234389708189
Bibliometrics,0.0109821148415437
Ontology Design Patterns,0.0109821148415437
Microservices,0.0106683401317853
Frame Semantics,0.0106683401317853
Dante,0.0106683401317853
Ontology Engineering,0.0103545654220269
Computer Networks And Communications,0.0100407907122685
Benedetto Varchi,0.0100407907122685
Semantics,0.0100407907122685
Akoma Ntoso,0.0097270160025101
Information Retrieval,0.0097270160025101
Vittorio Alfieri,0.0094132412927518
Pietro Verri,0.0094132412927518
Gdpr,0.0094132412927518
Vincenzo Monti,0.0094132412927518
Knowledge Graphs,0.0090994665829934
Annibale Rucellai,0.008785691873235
Pietro Metastasio,0.008785691873235
Giovan Battista Vico,0.008785691873235
Edizioni Digitali,0.008785691873235
Galileo Galilei,0.008785691873235
Alessandro Tassoni,0.008785691873235
Eugenio Montale,0.008785691873235
Torquato Tasso,0.008785691873235
Vincenzio Borghini,0.008785691873235
Lodovico Ariosto,0.008785691873235
Giovanni Della Casa,0.008785691873235
Niccolò Machiavelli,0.008785691873235
Scientometrics,0.008785691873235
Pietro Aretino,0.008785691873235
Constraint Programming,0.008785691873235
Pietro Bembo,0.008785691873235
Baldassar Castiglione,0.008785691873235
Giovanni Boccaccio,0.008785691873235
Francesco Guicciardini,0.008785691873235
Giuseppe Pelli Bencivenni,0.008785691873235
Umanesimo,0.008785691873235
Sannazzaro,0.008785691873235
Giovan Giorgio Trissino,0.008785691873235
Transparency,0.008785691873235
Audiences,0.008785691873235
Critica Genetica,0.0084719171634766
Electrical And Electronic Engineering,0.0084719171634766
Data Mining,0.0081581424537182
Covid-19,0.0081581424537182
Open Data,0.0078443677439598
Clustering Algorithms,0.0078443677439598
Open Science,0.0078443677439598
Evaluation,0.0078443677439598
Python,0.0078443677439598
Mild Cognitive Impairment,0.0078443677439598
Dynamic Pricing,0.0078443677439598
Romanticismo,0.0075305930342014
World Wide Web,0.0075305930342014
Optimization,0.0075305930342014
Letteratura Moderna E Contemporanea,0.0075305930342014
Rinascimento,0.0075305930342014
Giustizia,0.007216818324443
Humanities,0.007216818324443
Leopardi,0.007216818324443
Citation Data,0.007216818324443
Interpretation,0.0069030436146846
Manoscritti,0.0069030436146846
Agile,0.0069030436146846
Search Engines,0.0069030436146846
Editoria,0.0069030436146846
Pattern Recognition,0.0069030436146846
Gianfranco Contini,0.0069030436146846
Letteratura Italiana Moderna E Contemporanea,0.0069030436146846
Image Processing,0.0069030436146846
Innovation,0.0069030436146846
Gadda,0.0065892689049262
Mathematics,0.0065892689049262
Creativity,0.0065892689049262
Bibliographic Metadata,0.0065892689049262
Digital Library,0.0065892689049262
Spar Ontologies,0.0065892689049262
Interoperability,0.0065892689049262
Scholarly Data,0.0065892689049262
Letteratura Italiana Contemporanea,0.0065892689049262
Recognition,0.0065892689049262
Opencitations Corpus,0.0065892689049262
Blockchain,0.0062754941951678
Citation Analysis,0.0062754941951678
Ecdotica,0.0062754941951678
Similarity Search,0.0062754941951678
Image Analysis,0.0062754941951678
Legal Ontology,0.0062754941951678
Complex Systems,0.0062754941951678
Rash,0.0062754941951678
Knowledge Patterns,0.0059617194854094
Status,0.0059617194854094
Citation Networks,0.0059617194854094
Software Architecture,0.0059617194854094
Provenance,0.0059617194854094
Privacy Policies,0.0059617194854094
Letteratura Latina,0.0059617194854094
Smart City,0.0059617194854094
Software Quality,0.0059617194854094
Music,0.005647944775651
Novelty,0.005647944775651
Open Citation Data,0.005647944775651
Dementia,0.005647944775651
Knowledge Extraction,0.005647944775651
Entrepreneurship,0.005647944775651
Letteratura Greca,0.005647944775651
Italian,0.005647944775651
Cicerone,0.005647944775651
Citations,0.005647944775651
Review,0.005647944775651
Computational Thinking,0.005647944775651
Computer Vision,0.005647944775651
Bibliographic Data,0.005647944775651
Data Protection,0.005647944775651
Wikipedia,0.0053341700658926
Tournament Rituals,0.0053341700658926
Filologia D'Autore,0.0053341700658926
Lettere,0.0053341700658926
Ethics,0.0053341700658926
Linguistica Italiana,0.0053341700658926
Law,0.0053341700658926
Tei,0.0053341700658926
Knowledge Representation,0.0053341700658926
Sparql,0.0053341700658926
Finance,0.0053341700658926
Software Development,0.0053341700658926
Network Analysis,0.0053341700658926
Dante Isella,0.0053341700658926
Data Analysis,0.0053341700658926
Argumentation,0.0053341700658926
Benedetto Croce,0.0053341700658926
Altmetrics,0.0053341700658926
Smart Navigation,0.0050203953561342
Legitimacy,0.0050203953561342
Real-Time Data Analysis,0.0050203953561342
Smart Lighting,0.0050203953561342
Smart Grid,0.0050203953561342
Computational Musicology,0.0050203953561342
Prov-O,0.0050203953561342
Legal Semantic Web,0.0050203953561342
Epistolari,0.0050203953561342
Agent-Based Simulation,0.0050203953561342
Citizen Participation,0.0050203953561342
Crowdsensing,0.0050203953561342
Combinatorial Optimization,0.0050203953561342
E-Mobility,0.0050203953561342
Environmental Actions,0.0050203953561342
Historic Buildings,0.0050203953561342
Information And Communications,0.0050203953561342
Integrated Design Approach,0.0050203953561342
Intelligent Transportation System,0.0050203953561342
Mobile Communications,0.0050203953561342
Decision Support Systems,0.0050203953561342
Topic Modelling,0.0050203953561342
Information Systems And Management,0.0050203953561342
Clustering,0.0050203953561342
Owl,0.0050203953561342
Management Information Systems,0.0050203953561342
Science Of Science,0.0047066206463759
Privacy,0.0047066206463759
Controlled Vocabularies,0.0047066206463759
White Matter,0.0047066206463759
Ontology Network,0.0047066206463759
Music Information Retrieval,0.0047066206463759
Advertising,0.0047066206463759
Digital Editions,0.0047066206463759
Frbr,0.0047066206463759
Computer Networks,0.0047066206463759
Internet Learning,0.0047066206463759
Databases Education Engineering,0.0047066206463759
Knowledge Engineering,0.0047066206463759
Query Languages,0.0047066206463759
Computer Systems,0.0047066206463759
Empirical Software Engineering,0.0047066206463759
Neuroimaging,0.0043928459366175
Survey,0.0043928459366175
Digitalizzazione,0.0043928459366175
Frames,0.0043928459366175
History,0.0043928459366175
Apocalisse,0.0043928459366175
Databases,0.0043928459366175
Internet,0.0043928459366175
Econometrics And Finance (All),0.0043928459366175
Mathematics Of Computing,0.0043928459366175
Forgery,0.0043928459366175
Topology,0.0043928459366175
Canti,0.0043928459366175
Software Engineering Education,0.0043928459366175
Cognitive Semantics,0.0043928459366175
Male,0.0043928459366175
Digital Cultural Heritage,0.0043928459366175
Cerebral Small Vessel Diseases,0.0043928459366175
Model-Driven Engineering,0.0043928459366175
Small Vessel Disease,0.0043928459366175
Aged,0.0043928459366175
Serverless,0.0043928459366175
Data Model,0.0043928459366175
Vespasiano Da Bisticci,0.0043928459366175
80 And Over,0.0043928459366175
Cognitive Dysfunction,0.0043928459366175
Lesion Probability Map,0.0043928459366175
Female,0.0043928459366175
Promessi Sposi,0.0043928459366175
Data Modeling,0.0043928459366175
Humans,0.0043928459366175
Editing,0.0043928459366175
Magnetic Resonance Imaging,0.0043928459366175
Lesions,0.0043928459366175
Systemic Risk Propagation,0.0040790712268591
Text Mining,0.0040790712268591
Impact,0.0040790712268591
Economics,0.0040790712268591
Power Consumption,0.0040790712268591
Aulo Gellio,0.0040790712268591
Financial Stability,0.0040790712268591
Sustainable Tourism Development,0.0040790712268591
H63,0.0040790712268591
C12,0.0040790712268591
Sovereign Debt Crisis,0.0040790712268591
Illiquidity,0.0040790712268591
Vangelo Di Luca,0.0040790712268591
G00,0.0040790712268591
Symbolism,0.0040790712268591
Granger-Causality,0.0040790712268591
Eschilo,0.0040790712268591
Language,0.0040790712268591
G01,0.0040790712268591
G21,0.0040790712268591
Potere,0.0040790712268591
Data Visualisation,0.0040790712268591
Usability,0.0040790712268591
Pelagio,0.0040790712268591
Leibniz,0.0040790712268591
Digital Hermeneutics,0.0040790712268591
Digital Philology,0.0040790712268591
Pindaro,0.0040790712268591
Platone,0.0040790712268591
Text Analysis,0.0040790712268591
Fascismo,0.0040790712268591
Filologia Editoriale,0.0040790712268591
Esiodo,0.0040790712268591
Awards,0.0040790712268591
Coci,0.0040790712268591
Peer Evaluation,0.0040790712268591
Cooperative Thinking,0.0040790712268591
Flight-To-Quality,0.0040790712268591
Dike,0.0040790712268591
Art History,0.0040790712268591
Ecclesiaste,0.0040790712268591
Foscolo,0.0040790712268591
Communication Design,0.0040790712268591
Design Patterns,0.0040790712268591
Pattern Library,0.0040790712268591
Neural Networks,0.0040790712268591
Robotics,0.0040790712268591
Insiders,0.0040790712268591
Politica,0.0037652965171007
Iconology,0.0037652965171007
Alberto Savinio,0.0037652965171007
Computational Linguistics,0.0037652965171007
Virtual Reality,0.0037652965171007
Classici,0.0037652965171007
Alessandro,0.0037652965171007
Opencitations Data Model,0.0037652965171007
Iconography,0.0037652965171007
Strategy,0.0037652965171007
Ransomware,0.0037652965171007
Structural Equation Modelling,0.0037652965171007
Perceived Value,0.0037652965171007
Destination Marketing,0.0037652965171007
Security,0.0037652965171007
Literary Criticism,0.0037652965171007
Hardware And Architecture,0.0037652965171007
Prima Guerra Mondiale,0.0037652965171007
Scholarly Editions,0.0037652965171007
Privacy Icons,0.0037652965171007
Icons,0.0037652965171007
Informed Consent,0.0037652965171007
Digital Scholarly Editing,0.0037652965171007
Knowledge Management,0.0037652965171007
Wikis,0.0037652965171007
Carlo Porta,0.0034515218073423
Humanities Research,0.0034515218073423
Asn,0.0034515218073423
Sharing Economy,0.0034515218073423
Giorgio Bassani,0.0034515218073423
High School,0.0034515218073423
K-12,0.0034515218073423
Latent Variable Analysis,0.0034515218073423
Multivariate Analysis,0.0034515218073423
Silvio Pellico,0.0034515218073423
Chronometer,0.0034515218073423
Partial Least Squares,0.0034515218073423
Delio Tessa,0.0034515218073423
Communication,0.0034515218073423
Research Evaluation,0.0034515218073423
Authorship,0.0034515218073423
Advance Booking,0.0034515218073423
Option Pricing,0.0034515218073423
Digital Libraries,0.0034515218073423
Scholarly Infrastructure Organization,0.0034515218073423
Diritto,0.0034515218073423
Cidoc-Crm,0.0034515218073423
Legal Xml,0.0034515218073423
Workflow,0.0034515218073423
Computer Science Education,0.0034515218073423
Giuseppe Parini,0.0034515218073423
Data Visualization,0.0034515218073423
Vittorio Sereni,0.0034515218073423
Digital Ecosystem,0.0034515218073423
Consumer Protection Law,0.0034515218073423
