Node,Degree,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Clustering Coefficient
Catalogues Of Semantic Artefacts,6,0.0014340344168260037,0.0,0.20741908411221005,0.0009870642194683393,1.0
Maturity Model,6,0.0014340344168260037,0.0,0.20741908411221005,0.0009870642194683393,1.0
Ontologies,168,0.040152963671128104,0.06999833882243849,0.26918894322694514,0.0230025966147579,0.03493013972055888
Open Science,34,0.008126195028680687,0.008418720003903049,0.22815455293683956,0.002164747318007014,0.1408199643493761
Semantic Artefacts,6,0.0014340344168260037,0.0,0.20741908411221005,0.0009870642194683393,1.0
Taxonomy,6,0.0014340344168260037,0.0,0.20741908411221005,0.0009870642194683393,1.0
Vocabulary,10,0.002390057361376673,0.0004382110687701548,0.2080061746418229,0.0011645543969381687,0.4666666666666667
10.1038/s41597-024-03185-4,1,0.0002390057361376673,0.0,0.1666596700327838,3.9260051732732864e-05,0.0
Data Collection,1,0.0002390057361376673,0.0,0.00031867431485022306,7.348047118585187e-55,0.0
Scientific Misconduct,2,0.0004780114722753346,1.1427479614519116e-07,0.0004780114722753346,1.0391707892059712e-54,0.0
10.1371/journal.pone.0270872,1,0.0002390057361376673,0.0,0.00031867431485022306,7.348047118585187e-55,0.0
Citation Analysis,20,0.004780114722753346,0.003964219808024354,0.20511780476158264,0.000581529269652302,0.1736842105263158
Retraction,5,0.0011950286806883365,0.0004114388202335237,0.1801080362746303,5.9330500606653735e-05,0.5
Science Of Science,17,0.004063097514340344,0.0033182865226638976,0.21115891531055533,0.0007948474967413697,0.3382352941176471
Topic Modeling,13,0.0031070745697896747,0.002421599737425054,0.200857072773368,0.00024970079707384806,0.28205128205128205
10.1007/s11192-021-04097-5,1,0.0002390057361376673,0.0,0.1620386560850141,8.418836565020426e-06,0.0
Humanities,23,0.005497131931166348,0.0037422317360861095,0.1915011895790385,0.000131287262896675,0.1541501976284585
10.1162/qss_a_00222,1,0.0002390057361376673,0.0,0.15589431799099707,4.431691844581786e-06,0.0
Rest Api,9,0.0021510516252390057,0.0,0.20626926251057756,0.0010135173826964982,1.0
Opencitations,64,0.015296367112810707,0.010758415627831093,0.23490037238598696,0.004304285752405826,0.12896825396825398
Citation Data,23,0.005497131931166348,0.0023716933618166012,0.21516200117393067,0.0018545729584342463,0.31225296442687744
Sparql Endpoint,9,0.0021510516252390057,0.0,0.20626926251057756,0.0010135173826964982,1.0
Rdf,61,0.014579349904397704,0.013242714149333422,0.24140126960977587,0.007023870050152187,0.12896174863387977
Linked Data,106,0.025334608030592735,0.030251557781487724,0.2636361668195732,0.01178725022547138,0.0673854447439353
Triplestore,9,0.0021510516252390057,0.0,0.20626926251057756,0.0010135173826964982,1.0
Ramose,9,0.0021510516252390057,0.0,0.20626926251057756,0.0010135173826964982,1.0
Data Access,9,0.0021510516252390057,0.0,0.20626926251057756,0.0010135173826964982,1.0
Query Language,10,0.002390057361376673,0.0004006474352850402,0.20628373754654322,0.0010146368201913037,0.8
10.3233/SW-210439,1,0.0002390057361376673,0.0,0.1655521097115477,3.425492982473645e-05,0.0
Open Citations,47,0.011233269598470362,0.012357325290109801,0.22501096601639933,0.0022987390257802214,0.1036077705827937
Coci,13,0.0031070745697896747,0.00013102134790974053,0.19910209022204287,0.0007267090337379993,0.48717948717948717
Croci,5,0.0011950286806883365,0.0008011805957739353,0.19013863260273228,0.00024792363247340415,0.3
"Crowdsourcing open citations with CROCI An analysis ofthe current status of open citations, and a proposal",1,0.0002390057361376673,0.0,0.15499015396173368,8.372073994270379e-06,0.0
Digital Cultural Heritage,24,0.005736137667304015,0.009238749746187798,0.2347690488010735,0.00392960797104902,0.15579710144927536
Digital Twins,6,0.0014340344168260037,0.00040019033610045945,0.1835493762121911,0.00014830917471336967,0.7333333333333333
Photogrammetry,6,0.0014340344168260037,0.00040019033610045945,0.1835493762121911,0.00014830917471336967,0.7333333333333333
Preservation Of Temporary Exhibitions,6,0.0014340344168260037,0.00040019033610045945,0.1835493762121911,0.00014830917471336967,0.7333333333333333
Structured Light Scanning,7,0.001673040152963671,0.0012015994814666851,0.1835493762121911,0.00014778453368157347,0.2857142857142857
Digitisation of temporary exhibitions: the Aldrovandi case,1,0.0002390057361376673,0.0,0.15058364120886436,4.976770924337835e-06,0.0
Open Science Infrastructures,9,0.0021510516252390057,0.0005394959564806352,0.19307344893518824,0.0003159473808717545,0.2777777777777778
Fair,3,0.0007170172084130018,0.0,0.1835837659279441,0.00016140766981940033,1.0
Posi,4,0.0009560229445506692,0.0004006474352850402,0.18359523203036918,0.00016158613014314934,0.5
10.1007/978-3-031-16802-4_36,1,0.0002390057361376673,0.0,0.15061450325553316,5.4579277953971365e-06,0.0
Oscar,9,0.0021510516252390057,1.775748698944036e-05,0.20250366905747044,0.000762843632258196,0.8888888888888888
Occ,12,0.0028680688336520073,3.1310420724794e-05,0.204376226102916,0.0011083952019880663,0.696969696969697
Sparql,29,0.006931166347992352,0.002926847231306851,0.23322304506809272,0.0034349329550635655,0.25862068965517243
Free-Text Search,9,0.0021510516252390057,1.775748698944036e-05,0.20250366905747044,0.000762843632258196,0.8888888888888888
Scholarly Data,27,0.006453154875717017,0.00336679275122643,0.23491914489237117,0.0035526794018497054,0.2336182336182336
Advanced Search,8,0.0019120458891013384,0.0004006474352850402,0.19362029113675674,0.0004950579042545743,0.75
10.3233/DS-190016,1,0.0002390057361376673,0.0,0.15729576519896407,1.671770297868634e-05,0.0
Bibliographic Metadata,25,0.0059751434034416824,0.0007822845451760719,0.20896731783878872,0.0017717814780145466,0.30666666666666664
Csv,4,0.0009560229445506692,0.0004006474352850402,0.19020014623346754,0.00028291679653960215,0.5
http://ceur-ws.org/Vol-3220/,1,0.0002390057361376673,0.0,0.15503102473699915,9.552468063431366e-06,0.0
Semantic Web,248,0.05927342256214149,0.16648442568461466,0.29507561333449517,0.029199151565620664,0.024683296330155414
Isws,3,0.0007170172084130018,0.0,0.21966397100868634,0.0012359005444125572,1.0
Knowledge Preservation,3,0.0007170172084130018,0.0,0.21966397100868634,0.0012359005444125572,1.0
Knowledge Graph,55,0.013145315487571701,0.012790847477661339,0.24714505297109812,0.0062318903330254635,0.1063973063973064
11585_960101,1,0.0002390057361376673,0.0,0.19087943247001563,0.00021016363696902196,0.0
Topic Modelling,16,0.0038240917782026767,0.0030004561849862115,0.18803449498101713,0.00018086314950341298,0.39166666666666666
Mitao,10,0.002390057361376673,0.0005994284431796003,0.18796235437292927,0.00017950875147166315,0.8222222222222222
Tool,4,0.0009560229445506692,0.0008011805957739353,0.15362931222108503,1.2198393851629455e-05,0.16666666666666666
http://arxiv.org/abs/2011.13886,1,0.0002390057361376673,0.0,0.1298384832172368,4.122796084289585e-07,0.0
Text Analysis,13,0.0031070745697896747,0.0014847281612783533,0.1987520797862232,0.0002628934532877136,0.5128205128205128
Discourse Analysis,9,0.0021510516252390057,0.0,0.1879263048228002,0.00017910996159847884,1.0
Topics,9,0.0021510516252390057,0.0,0.1879263048228002,0.00017910996159847884,1.0
Frames,16,0.0038240917782026767,0.0030090504461713903,0.22264207074439452,0.0013319874618514071,0.4083333333333333
Discourse,9,0.0021510516252390057,0.0,0.1879263048228002,0.00017910996159847884,1.0
Themes,9,0.0021510516252390057,0.0,0.1879263048228002,0.00017910996159847884,1.0
Visualization,49,0.011711281070745698,0.005258702076849138,0.2087743792640796,0.0013979245558702114,0.1488095238095238
Python,24,0.005736137667304015,0.003750063138312999,0.21401843902717443,0.0014164857959398814,0.21014492753623187
10.19245/25.05.pij.5.2.3,1,0.0002390057361376673,0.0,0.17049726002193846,4.780490710562897e-05,0.0
Bibliographic Data,18,0.004302103250478011,0.00400438226913577,0.22289530330893545,0.0013191210143016787,0.21568627450980393
Workflows,7,0.001673040152963671,0.0012014852066705398,0.18413575921061393,0.00010076051394238838,0.3333333333333333
Multilingualism,9,0.0021510516252390057,0.0006415751128665193,0.19836313246765916,0.0003894736225286997,0.4444444444444444
Data Analysis,22,0.005258126195028681,0.004825147702314796,0.21941802344093758,0.001168858816480739,0.11255411255411256
Data Driven Research,5,0.0011950286806883365,0.0004006474352850402,0.18411269322549423,0.00010053054937100262,0.6
