,Critica Delle Varianti,Benedetto Varchi,Machine Learning,Legal Design,Visualization,Knowledge Graph,Information Systems,Rdf,Cultural Heritage,Computer Vision And Pattern Recognition,Open Citations,Ontology Design Patterns,Software Engineering,Deep Learning,Authorial Philology,Ontologies,Ontology Engineering,Semantics,Frame Semantics,Computer Networks And Communications,Philology,Linked Open Data,Microservices,Linked Data,Italian Philology,Manzoni,Opencitations,Computer Science Applications,Dante,Giacomo Leopardi,Bibliometrics,Carlo Emilio Gadda,Artificial Intelligence,Archives,Natural Language Processing,Big Data,Semantic Publishing,Francesco Petrarca,Alessandro Manzoni,Semantic Web
Critica Delle Varianti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2,0,0,0,6,0,0,0,0,4,0,8,0,0,0,0,0,2,8,0
Benedetto Varchi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,2,2,0
Machine Learning,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,2,18,0,0,0,0,2
Legal Design,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2
Visualization,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Knowledge Graph,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,8,2,2,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Information Systems,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Rdf,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4
Cultural Heritage,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,10,4,2,0,0,0,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Computer Vision And Pattern Recognition,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,14,0,0,0,0,2,0,0,0,0,0,0,2
Open Citations,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Ontology Design Patterns,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Software Engineering,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deep Learning,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0
Authorial Philology,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,26,10,0,0,0,6,0,8,0,4,0,0,0,6,10,0
Ontologies,0,0,0,2,0,6,0,4,10,0,0,2,2,0,0,0,2,0,0,2,0,10,0,16,0,0,0,0,0,0,0,0,0,4,2,0,6,0,0,34
Ontology Engineering,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,2,0,0,2,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Semantics,0,0,2,0,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
