Node,Degree,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Clustering Coefficient
Critica Delle Varianti,7,0.1794871794871795,0.0025829782595177867,0.3305084745762712,0.13272562984896166,0.7619047619047619
Benedetto Varchi,6,0.15384615384615385,0.0,0.3939393939393939,0.13985094334264894,1.0
Machine Learning,8,0.20512820512820512,0.1099804706271986,0.5131578947368421,0.14793901980676616,0.2857142857142857
Legal Design,4,0.10256410256410256,0.01611474445482542,0.4105263157894737,0.1104454416351658,0.3333333333333333
Visualization,3,0.07692307692307693,0.002114260008996851,0.33620689655172414,0.04031946525854086,0.0
Knowledge Graph,8,0.20512820512820512,0.013475462159672682,0.4482758620689655,0.218627013502593,0.6071428571428571
Information Systems,4,0.10256410256410256,0.0067476383265856945,0.32231404958677684,0.047713244688910604,0.5
Rdf,5,0.1282051282051282,0.008203859418434316,0.40625,0.1326954877224434,0.6
Cultural Heritage,7,0.1794871794871795,0.00799862905126063,0.4431818181818182,0.20644312839364695,0.7142857142857143
Computer Vision And Pattern Recognition,5,0.1282051282051282,0.011305073651342075,0.4148936170212766,0.09859532568490117,0.7
Open Citations,3,0.07692307692307693,0.0028222265064370322,0.36792452830188677,0.06177645133824076,0.3333333333333333
Ontology Design Patterns,4,0.10256410256410256,0.004873294346978556,0.40625,0.10818999417235117,0.5
Software Engineering,5,0.1282051282051282,0.06739623844696033,0.41935483870967744,0.07730068118527465,0.1
Deep Learning,3,0.07692307692307693,0.0,0.3611111111111111,0.037838576690823765,1.0
Authorial Philology,10,0.2564102564102564,0.0535411489890059,0.4148936170212766,0.1842078455342,0.6
Ontologies,14,0.358974358974359,0.15772643422374652,0.5571428571428572,0.31777708405282773,0.2857142857142857
Ontology Engineering,7,0.1794871794871795,0.004022342180236917,0.43820224719101125,0.20819640582308782,0.7619047619047619
Semantics,5,0.1282051282051282,0.015271578024614456,0.4020618556701031,0.09558682272147641,0.2
Frame Semantics,4,0.10256410256410256,0.0010683760683760683,0.3979591836734694,0.11165409065444852,0.6666666666666666
Computer Networks And Communications,5,0.1282051282051282,0.012726407772622728,0.40625,0.11504308880756989,0.6
Philology,6,0.15384615384615385,0.08784568683695847,0.42857142857142855,0.13294005326685823,0.4666666666666667
Linked Open Data,10,0.2564102564102564,0.1303077730372095,0.5342465753424658,0.2565491906982696,0.35555555555555557
Microservices,1,0.02564102564102564,0.0,0.29770992366412213,0.009468399313602086,0.0
Linked Data,8,0.20512820512820512,0.006717648822911978,0.42391304347826086,0.2121408099477871,0.6071428571428571
Italian Philology,8,0.20512820512820512,0.014138557594085496,0.4020618556701031,0.1653972136193774,0.8214285714285714
Manzoni,3,0.07692307692307693,0.05128205128205128,0.32231404958677684,0.03943928490875106,0.3333333333333333
Opencitations,5,0.1282051282051282,0.005237205439634589,0.3939393939393939,0.11510238474806357,0.6
Computer Science Applications,5,0.1282051282051282,0.011305073651342075,0.4148936170212766,0.09859532568490117,0.7
Dante,1,0.02564102564102564,0.0,0.24528301886792453,0.004830940063994176,0.0
Giacomo Leopardi,8,0.20512820512820512,0.014138557594085496,0.4020618556701031,0.1653972136193774,0.8214285714285714
Bibliometrics,3,0.07692307692307693,0.0,0.3611111111111111,0.037838576690823765,1.0
Carlo Emilio Gadda,5,0.1282051282051282,0.0,0.3046875,0.10137718069684383,1.0
Artificial Intelligence,9,0.23076923076923075,0.10984797630976806,0.5131578947368421,0.1670483917041319,0.25
Archives,12,0.3076923076923077,0.33747826182745316,0.5571428571428572,0.29249009369556267,0.36363636363636365
Natural Language Processing,7,0.1794871794871795,0.055436503817070604,0.4482758620689655,0.1231385695360955,0.23809523809523808
Big Data,1,0.02564102564102564,0.0,0.34210526315789475,0.020461462264409275,0.0
Semantic Publishing,5,0.1282051282051282,0.003302594092067776,0.42391304347826086,0.15655286179434258,0.7
Francesco Petrarca,7,0.1794871794871795,0.004385507887914124,0.3979591836734694,0.15433450979187613,0.9047619047619048
Alessandro Manzoni,9,0.23076923076923075,0.016901472875645567,0.40625,0.17990407754137505,0.7222222222222222
Semantic Web,18,0.4615384615384615,0.2501951944851647,0.5909090909090909,0.3765387125375496,0.2549019607843137
