Author,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,clustering_coefficient
Andrea Giovanni Nuzzolese,0.03734439834024896,0.006074227754725672,0.15818967361081404,2.2478362838705886e-13,0.6944444444444444
Valentina Presutti,0.024896265560165977,0.0016712770862148411,0.15578069380963414,2.2722180742828167e-13,0.5333333333333333
Aldo Gangemi,0.1037344398340249,0.04666320885200551,0.1724089701151569,2.642818887964214e-13,0.19666666666666666
Paolo Ciancarini,0.14937759336099585,0.08375057630244345,0.22078270993163976,1.9631261097622645e-12,0.20317460317460317
Anna Lisa Gentile,0.029045643153526972,0.0,0.11941166023540048,6.69792793848927e-14,1.0
Sebastian Rudolph,0.029045643153526972,0.0,0.11941166023540048,6.69792793848927e-14,1.0
Maria Maleshkova,0.029045643153526972,0.0,0.11941166023540048,6.69792793848927e-14,1.0
Heiko Paulheim,0.029045643153526972,0.0,0.11941166023540048,6.69792793848927e-14,1.0
Jeff Z. Pan,0.029045643153526972,0.0,0.11941166023540048,6.69792793848927e-14,1.0
Mehwish Alam,0.06224066390041494,0.0012390502535730753,0.12424614040687419,1.0571614309558289e-13,0.42857142857142855
Luigi Asprino,0.012448132780082988,0.0,0.13886333339591822,1.8437041100043314e-13,1.0
Valerio Basile,0.012448132780082988,0.0,0.13886333339591822,1.8437041100043314e-13,1.0
Davide Buscaldi,0.008298755186721992,0.0,0.11713281175762567,2.2245765556637684e-14,1.0
Diego Reforgiato Recupero,0.008298755186721992,0.0,0.11713281175762567,2.2245765556637684e-14,1.0
Marilena Daquino,0.012448132780082988,0.0,0.11803383338653048,1.5217926895816537e-13,1.0
Ilaria Tiddi,0.012448132780082988,0.0,0.11803383338653048,1.5217926895816537e-13,1.0
Silvio Peroni,0.1037344398340249,0.025096818810511755,0.17338303209320863,1.6456221282334694e-12,0.29333333333333333
David M. Shotton,0.016597510373443983,3.457814661134163e-05,0.11848956247296497,1.6229185054164062e-13,0.6666666666666666
Daniel Russo,0.04564315352697095,0.014487090825265099,0.15043527784557806,4.1098981010294887e-13,0.2545454545454545
Vincenzo Lomonaco,0.008298755186721992,0.0,0.1407742966995318,1.8432361141798125e-13,1.0
Tommaso Falasconi,0.012448132780082988,0.0,0.1414230261774098,1.9983887303588295e-13,1.0
Massimo Tomasi,0.012448132780082988,0.0,0.1414230261774098,1.9983887303588295e-13,1.0
Angelo Messina,0.029045643153526972,0.0002812355924389119,0.14544453403079585,4.0288978971862274e-13,0.6190476190476191
Francesco Poggi,0.07053941908713693,0.006036191793453204,0.17049331489165515,1.5589970514143125e-12,0.5588235294117647
Riccardo Fini,0.049792531120331954,0.0,0.16151998252893646,1.4113152446876377e-12,1.0
Monica Bartolini,0.049792531120331954,0.0,0.16151998252893646,1.4113152446876377e-12,1.0
Stefano Benigni,0.049792531120331954,0.0,0.16151998252893646,1.4113152446876377e-12,1.0
Angelo Di Iorio,0.12033195020746888,0.03328031350852927,0.1773918883265776,1.7196958837247823e-12,0.23645320197044334
Alan Johnson,0.049792531120331954,0.0,0.16151998252893646,1.4113152446876377e-12,1.0
Marcello Maria Mariani,0.049792531120331954,0.0,0.16151998252893646,1.4113152446876377e-12,1.0
Einar Rasmussen,0.049792531120331954,0.0,0.16151998252893646,1.4113152446876377e-12,1.0
Riccardo Silvi,0.049792531120331954,0.0,0.16151998252893646,1.4113152446876377e-12,1.0
Maurizio Sobrero,0.049792531120331954,0.0,0.16151998252893646,1.4113152446876377e-12,1.0
Laura Toschi,0.049792531120331954,0.0,0.16151998252893646,1.4113152446876377e-12,1.0
